TITLE,OVERVIEW,SYMPTOMS,TREATMENT,TAGS,INSTITUTION,LASTREADTIME
A,,,,,,0
Abdominal Pain ,con_overview/Abdominal-Pain_overview.html,con_symptoms/Abdominal-Pain_symptoms.html,con_treatment/Abdominal-Pain_treatment.html,"abdominal pain, abdomen, functional disorders, appendicitis, singapore general hospital, stomach pain, stomach ulcers, peptic ulcers",Singapore General Hospital,0
Abdominal Pain (Child),con_overview/Abdominal-Pain-Child_overview.html,con_symptoms/Abdominal-Pain-Child_symptoms.html,con_treatment/Abdominal-Pain-Child_treatment.html,"pain, vomiting, diarrhoea, severe pain, blood in urine, blood in stools, lethargic, vomit in green color",KK Women's and Children's Hospital,0
Abdominal Sacropolpopexy,con_overview/Abdominal-Sacropolpopexy_overview.html,null,con_treatment/Abdominal-Sacropolpopexy_treatment.html,"treat severe protrusion of the vagina after removal of the womb, surgery, Urinary difficulties Bowel difficulties, Pain, Infection, Bleeding ",KK Women's and Children's Hospital,0
Abdominal Surgery,con_overview/Abdominal-Surgery_overview.html,null,con_treatment/Abdominal-Surgery_treatment.html,"stomach, stomach cancer, stomach ulcers, chronic constipation, rectal prolapse, laparascopic, stoma, disease colon, colectomy",Singapore General Hospital,0
Abnormal Heart Rhythm / Arrhythmia,con_overview/Arrhythmia-Abnormal-Heart-Rhythm_overview.html,con_symptoms/Arrhythmia-Abnormal-Heart-Rhythm_symptoms.html,con_treatment/Arrhythmia-Abnormal-Heart-Rhythm_treatment.html,"Arrhythmia, Abnormal Heart Rhythm, Heart Rhythm problem, fast heartbeat, pounding chest sensations, skipping a heartbeat, dizziness, shortness of breath, chest pain, heart","National Heart Centre Singapore, KK Women's and Children's Hospital",0
Abscess - Dental,con_overview/Abscess-Dental_overview.html,con_symptoms/Abscess-Dental_symptoms.html,con_treatment/Abscess-Dental_treatment.html,"dental abscess, pulp infection, gum and tissue infection",National Dental Centre Singapore,0
Acoustic Neuroma (Acoustic Schwannoma),con_overview/Acoustic-Neuroma_overview.html,con_symptoms/Acoustic-Neuroma_symptoms.html,con_treatment/Acoustic-Neuroma_treatment.html,"brain, nerve, acoustic neuroma, acoustic schwannoma, vestibular schwannoma, cochlear, hearing loss, neurinoma, brain surgery, ear, nose, throat, ENT","National Neuroscience Institute - Singapore General Hospital Campus, National Neuroscience Institute - Tan Tock Seng Hospital Campus",0
Acute Appendicitis (Child),con_overview/Acute-Appendicitis-Child_overview.html,con_symptoms/Acute-Appendicitis-Child_symptoms.html,con_treatment/Acute-Appendicitis-Child_treatment.html,"Appendix, Abdominal pain , Nausea, vomiting, loss appetite, no appetite, fever, Appendicitis Treated, Appendicitis Treatment",KK Women's and Children's Hospital,0
Acute Laryngotracheobrontis (ALTB) or Croup (Child),null,con_symptoms/Acute-Laryngotracheobronchitis-ALTB-Croup-Child-SGH_symptoms.html,con_treatment/Acute-Laryngotracheobronchitis-ALTB-Croup-Child-SGH_treatment.html,"croup, swollen throat, hard to breath, throat infection, throat,asthma, breathing problems",Singapore General Hospital,0
Acute Pharyngitis and Tonsillitis,con_overview/Acute-Pharyngitis-Tonsillitis_overview.html,con_symptoms/Acute-Pharyngitis-Tonsillitis_symptoms.html,con_treatment/Acute-Pharyngitis-Tonsillitis_treatment.html,,Singapore General Hospital,0
